in:Pt1 Y,in:Pt1 Z,in:Pt2 Y,in:Pt2 Z,in:Configuration,out:Displacement,img
3.333333,20,33.333333,47.333333,0,29.53319,Pt1Y3.333333_Pt1Z20_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
10,20,33.333333,47.333333,0,82.911193,Pt1Y10_Pt1Z20_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-10,23.333333,33.333333,47.333333,0,8.562482,Pt1Y-10_Pt1Z23.333333_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-3.333333,23.333333,33.333333,47.333333,0,11.855072,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
3.333333,23.333333,33.333333,47.333333,0,18.979422,Pt1Y3.333333_Pt1Z23.333333_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
10,23.333333,33.333333,47.333333,0,40.854423,Pt1Y10_Pt1Z23.333333_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-10,26.666667,33.333333,47.333333,0,6.978618,Pt1Y-10_Pt1Z26.666667_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-3.333333,26.666667,33.333333,47.333333,0,9.013818,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
3.333333,26.666667,33.333333,47.333333,0,13.089272,Pt1Y3.333333_Pt1Z26.666667_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
10,26.666667,33.333333,47.333333,0,23.638019,Pt1Y10_Pt1Z26.666667_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-10,30,33.333333,47.333333,0,5.930243,Pt1Y-10_Pt1Z30_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-3.333333,30,33.333333,47.333333,0,7.185326,Pt1Y-3.333333_Pt1Z30_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
3.333333,30,33.333333,47.333333,0,9.548743,Pt1Y3.333333_Pt1Z30_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
10,30,33.333333,47.333333,0,15.028973,Pt1Y10_Pt1Z30_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-10,20,36.666667,47.333333,0,10.972848,Pt1Y-10_Pt1Z20_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-3.333333,20,36.666667,47.333333,0,16.058423,Pt1Y-3.333333_Pt1Z20_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
3.333333,20,36.666667,47.333333,0,27.85308,Pt1Y3.333333_Pt1Z20_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
10,20,36.666667,47.333333,0,72.526071,Pt1Y10_Pt1Z20_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-10,23.333333,36.666667,47.333333,0,8.535916,Pt1Y-10_Pt1Z23.333333_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-3.333333,23.333333,36.666667,47.333333,0,11.6084,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
3.333333,23.333333,36.666667,47.333333,0,17.977958,Pt1Y3.333333_Pt1Z23.333333_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
10,23.333333,36.666667,47.333333,0,36.16026,Pt1Y10_Pt1Z23.333333_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-10,26.666667,36.666667,47.333333,0,6.965899,Pt1Y-10_Pt1Z26.666667_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-3.333333,26.666667,36.666667,47.333333,0,8.865384,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
3.333333,26.666667,36.666667,47.333333,0,12.49354,Pt1Y3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
10,26.666667,36.666667,47.333333,0,21.239842,Pt1Y10_Pt1Z26.666667_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-10,30,36.666667,47.333333,0,5.924203,Pt1Y-10_Pt1Z30_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-3.333333,30,36.666667,47.333333,0,7.100152,Pt1Y-3.333333_Pt1Z30_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
3.333333,30,36.666667,47.333333,0,9.207309,Pt1Y3.333333_Pt1Z30_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
10,30,36.666667,47.333333,0,13.742812,Pt1Y10_Pt1Z30_Pt2Y36.666667_Pt2Z47.333333_Configuration0.png
-10,20,40,47.333333,0,11.034084,Pt1Y-10_Pt1Z20_Pt2Y40_Pt2Z47.333333_Configuration0.png
-3.333333,20,40,47.333333,0,15.910969,Pt1Y-3.333333_Pt1Z20_Pt2Y40_Pt2Z47.333333_Configuration0.png
3.333333,20,40,47.333333,0,26.881502,Pt1Y3.333333_Pt1Z20_Pt2Y40_Pt2Z47.333333_Configuration0.png
10,20,40,47.333333,0,66.214803,Pt1Y10_Pt1Z20_Pt2Y40_Pt2Z47.333333_Configuration0.png
-10,23.333333,40,47.333333,0,8.572636,Pt1Y-10_Pt1Z23.333333_Pt2Y40_Pt2Z47.333333_Configuration0.png
-3.333333,23.333333,40,47.333333,0,11.504473,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y40_Pt2Z47.333333_Configuration0.png
3.333333,23.333333,40,47.333333,0,17.368429,Pt1Y3.333333_Pt1Z23.333333_Pt2Y40_Pt2Z47.333333_Configuration0.png
10,23.333333,40,47.333333,0,33.167091,Pt1Y10_Pt1Z23.333333_Pt2Y40_Pt2Z47.333333_Configuration0.png
-10,26.666667,40,47.333333,0,6.988984,Pt1Y-10_Pt1Z26.666667_Pt2Y40_Pt2Z47.333333_Configuration0.png
-3.333333,26.666667,40,47.333333,0,8.799137,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y40_Pt2Z47.333333_Configuration0.png
3.333333,26.666667,40,47.333333,0,12.12333,Pt1Y3.333333_Pt1Z26.666667_Pt2Y40_Pt2Z47.333333_Configuration0.png
10,26.666667,40,47.333333,0,19.680713,Pt1Y10_Pt1Z26.666667_Pt2Y40_Pt2Z47.333333_Configuration0.png
-10,30,40,47.333333,0,5.9376,Pt1Y-10_Pt1Z30_Pt2Y40_Pt2Z47.333333_Configuration0.png
-3.333333,30,40,47.333333,0,7.060366,Pt1Y-3.333333_Pt1Z30_Pt2Y40_Pt2Z47.333333_Configuration0.png
3.333333,30,40,47.333333,0,8.992561,Pt1Y3.333333_Pt1Z30_Pt2Y40_Pt2Z47.333333_Configuration0.png
10,30,40,47.333333,0,12.904701,Pt1Y10_Pt1Z30_Pt2Y40_Pt2Z47.333333_Configuration0.png
-10,20,30,50,0,12.086722,Pt1Y-10_Pt1Z20_Pt2Y30_Pt2Z50_Configuration0.png
-3.333333,20,30,50,0,19.040198,Pt1Y-3.333333_Pt1Z20_Pt2Y30_Pt2Z50_Configuration0.png
3.333333,20,30,50,0,36.862138,Pt1Y3.333333_Pt1Z20_Pt2Y30_Pt2Z50_Configuration0.png
10,20,30,50,0,126.336821,Pt1Y10_Pt1Z20_Pt2Y30_Pt2Z50_Configuration0.png
-10,23.333333,30,50,0,9.305597,Pt1Y-10_Pt1Z23.333333_Pt2Y30_Pt2Z50_Configuration0.png
-3.333333,23.333333,30,50,0,13.621416,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z50_Configuration0.png
3.333333,23.333333,30,50,0,23.582763,Pt1Y3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z50_Configuration0.png
10,23.333333,30,50,0,59.244604,Pt1Y10_Pt1Z23.333333_Pt2Y30_Pt2Z50_Configuration0.png
-10,26.666667,30,50,0,7.498887,Pt1Y-10_Pt1Z26.666667_Pt2Y30_Pt2Z50_Configuration0.png
